N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,B_H,B_R,C,CH,DB,D_R,DI,K_D,Log_B_W,M_R,PBM,P_B,R_L,R_T,S_S,SD,S_Dbw,Si,T_W,T_WiB,W_G,XB,PC,CE,G_str,G_rex,Conn,CVNN,ICC,CV,LCCV,CSBM,WGLI,MPC,PBMF,MPE,CO,DCVI,GDI11,GDI12,GDI13,GDI21,GDI22,GDI23,GDI31,GDI32,GDI33,GDI41,GDI42,GDI43,GDI51,GDI52,GDI53,UW
0,edisonn0.xlsx,GMM,5000,2,2,2:40,normal,0.1,1,0,0,0.34,0.31,1.0,1.0,1.0,0.51,1.0,0.35,0.36,0.31,1.0,0.31,1.0,1.0,0.31,0.44,1.0,1.0,0.33,0.36,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.51,1.0,0.31,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999999999
1,edisonn1.xlsx,GMM,5000,2,2,2:40,normal,0.1,5,0,0,0.52,0.32,1.0,1.0,1.0,0.36,1.0,0.41,0.48,0.32,1.0,0.32,1.0,1.0,0.32,0.38,1.0,1.0,0.38,0.33,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.52,1.0,0.32,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,edisonn2.xlsx,GMM,5000,2,2,2:40,normal,0.3,1,0,0,0.32,0.3,0.97,0.97,0.97,0.36,0.97,0.43,0.35,0.3,0.97,0.3,0.97,0.97,0.3,0.32,0.97,0.97,0.34,0.33,0.97,0.97,0.97,0.97,0.97,0.97,NI,0.32,0.31,0.3,0.97,NI,NI,0.97,0.97,0.97,NI,0.31,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.9726860838604888
3,edisonn3.xlsx,GMM,5000,2,2,2:40,normal,0.3,5,0,0,0.37,0.31,1.0,1.0,1.0,0.51,1.0,0.66,0.32,0.31,1.0,0.31,1.0,1.0,0.31,0.33,1.0,1.0,0.32,0.43,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.32,1.0,0.32,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,edisonn4.xlsx,GMM,5000,2,3,2:40,normal,0.1,1,0,0,0.67,0.42,1.0,1.0,0.81,0.46,0.81,0.47,0.46,0.42,1.0,0.42,0.81,0.81,0.42,0.45,1.0,0.81,0.5,0.42,1.0,0.81,0.81,0.81,1.0,0.81,NI,0.44,0.81,0.42,1.0,NI,NI,1.0,1.0,0.81,NI,0.81,0.81,0.81,0.81,1.0,1.0,1.0,0.81,0.81,1.0,0.81,0.81,0.81,1.0,1.0,1.0,0.9999999999999994
5,edisonn5.xlsx,GMM,5000,2,3,2:40,normal,0.1,5,0,0,1.0,0.42,0.53,1.0,1.0,0.54,1.0,1.0,0.54,0.42,1.0,0.42,0.53,1.0,0.42,0.45,1.0,1.0,1.0,0.51,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.44,0.53,0.42,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53,0.53,1.0,1.0
6,edisonn6.xlsx,GMM,5000,2,3,2:40,normal,0.3,1,0,0,0.39,0.34,0.34,0.73,0.73,0.41,0.73,0.35,0.63,0.34,0.73,0.34,0.73,0.73,0.34,0.36,0.73,0.73,0.34,0.57,0.73,0.34,0.73,0.73,0.73,0.73,NI,0.37,0.35,0.35,0.73,NI,NI,0.73,0.72,0.73,NI,0.34,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7345388494778871
7,edisonn7.xlsx,GMM,5000,2,3,2:40,normal,0.3,5,0,0,1.0,0.42,0.53,1.0,1.0,0.43,0.53,1.0,0.43,0.42,1.0,0.42,0.53,1.0,0.42,0.45,1.0,1.0,1.0,0.47,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.46,0.53,0.42,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,0.53,0.53,1.0,1.0,1.0,1.0,0.53,1.0,1.0,0.53,1.0,1.0,0.53,0.53,1.0,1.0
10,edisonn10.xlsx,GMM,5000,2,4,2:40,normal,0.3,1,0,0,0.44,0.42,0.42,0.75,0.56,0.54,0.48,0.45,0.5,0.42,0.73,0.42,0.56,0.56,0.42,0.48,0.56,0.56,0.45,0.45,0.56,0.45,0.56,0.56,0.56,0.56,NI,0.48,0.43,0.42,0.56,NI,NI,0.56,0.73,0.56,NI,0.43,0.48,0.48,0.48,0.56,0.75,0.75,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,1.0
11,edisonn11.xlsx,GMM,5000,2,4,2:40,normal,0.3,5,0,0,1.0,0.52,1.0,1.0,1.0,0.62,1.0,0.63,0.68,0.52,1.0,0.52,0.84,1.0,0.52,0.54,1.0,1.0,0.56,0.68,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.6,0.84,0.53,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,0.71,1.0,1.000000000000001
12,edisonn12.xlsx,GMM,5000,2,5,2:40,normal,0.1,1,0,0,1.0,0.58,1.0,1.0,1.0,0.62,0.51,0.64,0.61,0.58,1.0,0.58,0.51,1.0,0.6,0.6,1.0,0.51,1.0,0.71,1.0,0.51,0.51,0.51,1.0,1.0,NI,0.66,0.51,0.58,1.0,NI,NI,1.0,1.0,0.51,NI,0.51,0.51,0.51,0.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.370232506209508
13,edisonn13.xlsx,GMM,5000,2,5,2:40,normal,0.1,5,0,0,1.0,0.58,0.66,1.0,1.0,0.8,1.0,1.0,0.66,0.58,1.0,0.58,0.66,1.0,0.61,0.61,1.0,1.0,1.0,0.66,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.67,0.66,0.58,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000000000001
14,edisonn14.xlsx,GMM,5000,2,5,2:40,normal,0.3,1,0,0,0.49,0.47,0.48,0.78,0.51,0.63,0.51,0.7,0.52,0.47,0.51,0.47,0.51,0.51,0.5,0.49,0.51,0.51,0.5,0.55,0.51,0.51,0.51,0.51,0.51,0.51,NI,0.53,0.47,0.47,0.51,NI,NI,0.51,0.73,0.51,NI,0.51,0.51,0.51,0.51,0.73,0.58,0.58,0.51,0.51,0.51,0.51,0.51,0.51,0.73,0.51,0.51,0.9999999999999992
15,edisonn15.xlsx,GMM,5000,2,5,2:40,normal,0.3,5,0,0,0.63,0.57,0.82,1.0,1.0,0.83,0.82,0.96,0.58,0.57,1.0,0.57,0.66,1.0,0.57,0.6,1.0,0.82,1.0,0.62,1.0,0.82,1.0,1.0,1.0,1.0,NI,0.65,0.66,0.58,1.0,NI,NI,1.0,1.0,1.0,NI,0.82,0.82,0.82,0.66,1.0,1.0,1.0,0.66,1.0,1.0,0.66,1.0,1.0,1.0,1.0,1.0,0.9561215842049748
16,edisonn16.xlsx,GMM,5000,2,6,2:40,normal,0.1,1,0,0,0.61,0.6,0.89,0.95,0.89,0.61,0.89,0.69,0.63,0.6,0.95,0.6,0.8,0.89,0.6,0.63,0.94,0.89,0.95,0.61,0.89,0.89,0.89,0.89,0.94,0.89,NI,0.62,0.89,0.6,0.94,NI,NI,0.94,0.95,0.89,NI,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.62,0.62,0.62,0.3746689764643519
17,edisonn17.xlsx,GMM,5000,2,6,2:40,normal,0.1,5,0,0,1.0,0.62,0.98,1.0,1.0,0.93,1.0,1.0,0.69,0.62,1.0,0.62,0.76,1.0,0.62,0.64,1.0,1.0,1.0,0.76,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.63,0.36,0.62,0.98,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36,0.36,1.0,0.9561215842049748
18,edisonn18.xlsx,GMM,5000,2,6,2:40,normal,0.3,1,0,0,0.88,0.54,0.88,0.88,0.88,0.55,0.88,0.6,0.76,0.54,0.88,0.54,0.79,0.88,0.54,0.56,0.88,0.88,0.88,0.71,0.88,0.88,0.6,0.6,0.88,0.88,NI,0.55,0.55,0.54,0.88,NI,NI,0.88,0.88,0.6,NI,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.6,0.88,0.88,0.88,0.88,0.88,0.6,0.6,0.83,1.0000000000000009
19,edisonn19.xlsx,GMM,5000,2,6,2:40,normal,0.3,5,0,0,1.0,0.61,1.0,1.0,0.98,0.61,1.0,1.0,0.66,0.61,1.0,0.61,0.76,1.0,0.63,0.65,1.0,0.98,1.0,0.76,1.0,0.98,1.0,1.0,0.98,1.0,NI,0.63,0.36,0.61,1.0,NI,NI,1.0,1.0,1.0,NI,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36,0.36,1.0,1.0000000000000002
20,edisonn20.xlsx,GMM,5000,2,7,2:40,normal,0.1,1,0,0,1.0,0.65,0.79,1.0,0.97,0.87,0.79,1.0,0.83,0.65,1.0,0.65,0.57,1.0,0.65,0.67,0.97,1.0,1.0,0.83,1.0,0.79,1.0,1.0,1.0,1.0,NI,0.66,0.72,0.65,1.0,NI,NI,1.0,1.0,1.0,NI,0.79,0.79,0.79,0.79,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,1.0,0.57,1.0,1.0,0.8769622010765684
21,edisonn21.xlsx,GMM,5000,2,7,2:40,normal,0.1,5,0,0,1.0,0.67,0.77,1.0,1.0,0.74,1.0,0.87,0.87,0.67,1.0,0.67,0.68,1.0,0.67,0.69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.68,0.77,0.67,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43,0.43,1.0,1.0000000000000002
22,edisonn22.xlsx,GMM,5000,2,7,2:40,normal,0.3,1,0,0,0.58,0.56,0.72,0.81,0.72,0.64,0.72,0.77,0.81,0.56,0.72,0.56,0.57,0.72,0.56,0.58,0.72,0.72,0.72,0.56,0.72,0.72,0.72,0.57,0.72,0.72,NI,0.57,0.56,0.56,0.72,NI,NI,0.72,0.72,0.57,NI,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.57,0.57,0.81,1.0
23,edisonn23.xlsx,GMM,5000,2,7,2:40,normal,0.3,5,0,0,0.72,0.66,1.0,1.0,1.0,0.71,0.68,1.0,0.93,0.66,1.0,0.66,0.68,1.0,0.66,0.68,1.0,1.0,1.0,0.67,1.0,0.68,1.0,1.0,1.0,1.0,NI,0.67,0.68,0.66,1.0,NI,NI,1.0,1.0,1.0,NI,0.93,0.68,0.43,0.43,1.0,1.0,1.0,0.43,1.0,1.0,0.43,1.0,1.0,0.43,0.43,1.0,1.0000000000000002
24,edisonn24.xlsx,GMM,5000,2,8,2:40,normal,0.1,1,0,0,0.69,0.68,1.0,1.0,1.0,0.89,1.0,1.0,0.71,0.68,1.0,0.68,0.7,1.0,0.68,0.71,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.7,0.79,0.68,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51,0.51,0.51,0.715777668226976
25,edisonn25.xlsx,GMM,5000,2,8,2:40,normal,0.1,5,0,0,1.0,0.7,1.0,1.0,1.0,0.76,1.0,1.0,0.77,0.7,1.0,0.7,0.71,1.0,0.7,0.72,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.71,0.76,0.7,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.45,0.45,1.0000000000000002
26,edisonn26.xlsx,GMM,5000,2,8,2:40,normal,0.3,1,0,0,0.6,0.59,0.59,0.84,0.76,0.82,0.49,0.6,0.63,0.59,0.84,0.59,0.68,0.68,0.59,0.62,0.76,0.76,0.84,0.63,0.84,0.49,0.49,0.49,0.76,0.76,NI,0.61,0.62,0.6,0.76,NI,NI,0.84,0.84,0.49,NI,0.49,0.49,0.49,0.49,0.68,0.84,0.84,0.68,0.76,0.76,0.68,0.76,0.76,0.49,0.49,0.49,0.934695493796858
27,edisonn27.xlsx,GMM,5000,2,8,2:40,normal,0.3,5,0,0,1.0,0.69,1.0,1.0,0.96,0.75,0.76,0.87,0.75,0.69,1.0,0.69,0.71,1.0,0.69,0.71,1.0,0.76,1.0,0.76,0.96,0.76,1.0,1.0,1.0,1.0,NI,0.7,0.76,0.69,1.0,NI,NI,1.0,1.0,1.0,NI,0.76,0.76,0.76,0.76,1.0,1.0,1.0,0.76,1.0,1.0,0.76,1.0,1.0,0.45,0.45,0.45,0.9999999999999998
28,edisonn28.xlsx,GMM,5000,2,9,2:40,normal,0.1,1,0,0,1.0,0.72,1.0,1.0,1.0,0.73,0.5,0.91,0.89,0.72,1.0,0.72,0.5,1.0,0.77,0.76,1.0,1.0,1.0,0.78,1.0,0.78,1.0,0.5,1.0,1.0,NI,0.74,1.0,0.72,1.0,NI,NI,1.0,1.0,0.5,NI,0.78,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.68,1.0,0.3304330965873769
29,edisonn29.xlsx,GMM,5000,2,9,2:40,normal,0.1,5,0,0,1.0,0.74,1.0,1.0,1.0,0.87,1.0,1.0,0.83,0.74,1.0,0.74,0.64,1.0,0.74,0.76,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.75,0.64,0.74,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31,0.31,1.0,0.9978155931795344
30,edisonn30.xlsx,GMM,5000,2,9,2:40,normal,0.3,1,0,0,0.73,0.6,0.61,0.8,0.73,0.68,0.65,0.66,0.77,0.6,0.77,0.6,0.65,0.65,0.6,0.63,0.73,0.73,0.61,0.61,0.73,0.65,0.45,0.45,0.73,0.73,NI,0.62,0.61,0.6,0.73,NI,NI,0.73,0.77,0.45,NI,0.65,0.65,0.65,0.65,0.65,0.65,0.73,0.65,0.65,0.65,0.65,0.65,0.65,0.45,0.45,0.65,0.9992331645852376
31,edisonn31.xlsx,GMM,5000,2,9,2:40,normal,0.3,5,0,0,0.98,0.72,0.98,0.98,0.96,0.93,0.31,0.98,0.83,0.72,0.98,0.72,0.64,0.93,0.73,0.75,0.96,0.96,0.96,0.94,0.96,0.64,0.96,0.98,0.98,0.96,NI,0.74,0.64,0.72,0.96,NI,NI,0.96,0.98,0.98,NI,0.96,0.31,0.64,0.64,0.64,0.78,0.78,0.64,0.64,0.64,0.64,0.64,0.64,0.31,0.31,0.31,1.0
32,edisonn32.xlsx,GMM,5000,2,10,2:40,normal,0.1,1,0,0,0.76,0.75,1.0,1.0,1.0,0.76,1.0,0.92,0.76,0.75,1.0,0.75,0.65,1.0,0.75,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.76,0.98,0.75,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,1.0,1.0,0.3405435362514992
33,edisonn33.xlsx,GMM,5000,2,10,2:40,normal,0.1,5,0,0,1.0,0.75,0.99,1.0,1.0,0.8,1.0,1.0,0.82,0.75,1.0,0.75,0.45,1.0,0.75,0.78,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.77,0.78,0.75,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.45,1.0,1.0
34,edisonn34.xlsx,GMM,5000,2,10,2:40,normal,0.3,1,0,0,0.66,0.63,0.63,0.81,0.76,0.63,0.78,0.63,0.71,0.63,0.76,0.63,0.59,0.76,0.63,0.66,0.76,0.76,0.66,0.63,0.76,0.78,0.43,0.43,0.81,0.81,NI,0.64,0.63,0.63,0.76,NI,NI,0.76,0.76,0.43,NI,0.65,0.78,0.78,0.78,0.76,0.76,0.81,0.76,0.76,0.76,0.76,0.76,0.76,0.43,0.43,0.43,0.8989392972995166
35,edisonn35.xlsx,GMM,5000,2,10,2:40,normal,0.3,5,0,0,0.78,0.75,0.99,1.0,1.0,0.94,0.78,0.84,0.75,0.75,1.0,0.75,0.46,0.99,0.75,0.78,1.0,0.99,1.0,0.81,1.0,0.99,1.0,1.0,1.0,1.0,NI,0.77,0.78,0.75,1.0,NI,NI,1.0,1.0,1.0,NI,0.99,0.78,0.99,0.99,1.0,1.0,1.0,0.78,1.0,1.0,0.78,1.0,1.0,0.46,0.46,1.0,0.9999999999999998
36,edisonn36.xlsx,GMM,5000,2,11,2:40,normal,0.1,1,0,0,1.0,0.77,1.0,1.0,1.0,0.85,1.0,0.86,0.91,0.77,1.0,0.77,0.45,1.0,0.77,0.8,0.97,1.0,1.0,0.78,1.0,0.98,1.0,0.45,1.0,1.0,NI,0.79,1.0,0.77,0.98,NI,NI,1.0,1.0,0.45,NI,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,1.0,1.0,0.7332242048718999
37,edisonn37.xlsx,GMM,5000,2,11,2:40,normal,0.1,5,0,0,1.0,0.78,0.98,1.0,1.0,0.92,1.0,1.0,0.78,0.78,1.0,0.78,0.47,1.0,0.82,0.8,1.0,0.98,1.0,0.94,1.0,0.98,1.0,1.0,1.0,1.0,NI,0.79,0.98,0.78,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.63,1.0,0.9565959808087264
38,edisonn38.xlsx,GMM,5000,2,11,2:40,normal,0.3,1,0,0,0.67,0.64,0.64,0.8,0.76,0.79,0.43,0.7,0.7,0.64,0.61,0.64,0.43,0.76,0.64,0.66,0.43,0.76,0.72,0.77,0.79,0.43,0.43,0.43,0.8,0.76,NI,0.65,0.64,0.64,0.79,NI,NI,0.43,0.76,0.43,NI,0.43,0.43,0.43,0.43,0.8,0.8,0.8,0.43,0.79,0.79,0.43,0.79,0.79,0.43,0.43,0.43,1.0
39,edisonn39.xlsx,GMM,5000,2,11,2:40,normal,0.3,5,0,0,0.98,0.77,0.98,1.0,0.98,0.8,0.98,0.81,0.95,0.77,1.0,0.77,0.47,0.98,0.77,0.8,0.98,0.98,1.0,0.87,0.98,0.98,0.98,0.98,1.0,0.98,NI,0.79,0.71,0.77,1.0,NI,NI,0.98,1.0,0.98,NI,0.98,0.98,0.98,0.98,0.8,1.0,1.0,0.98,0.98,0.98,0.98,0.98,0.98,0.47,0.47,0.47,0.9999999999999996
40,edisonn40.xlsx,GMM,5000,2,12,2:40,normal,0.1,1,0,0,1.0,0.78,1.0,1.0,1.0,0.79,1.0,0.81,0.79,0.78,1.0,0.78,0.6,1.0,0.78,0.81,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.45,1.0,1.0,NI,0.8,1.0,0.78,1.0,NI,NI,1.0,1.0,0.45,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.45,1.0,0.321019786434968
41,edisonn41.xlsx,GMM,5000,2,12,2:40,normal,0.1,5,0,0,1.0,0.79,0.97,1.0,1.0,0.8,0.97,0.97,0.93,0.79,1.0,0.79,0.71,0.97,0.79,0.82,1.0,0.97,1.0,0.96,1.0,0.97,1.0,1.0,1.0,1.0,NI,0.81,0.71,0.79,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,0.97,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.97,1.0,1.0,0.44,1.0,1.0,0.9999999999999996
42,edisonn42.xlsx,GMM,5000,2,12,2:40,normal,0.3,1,0,0,0.71,0.64,0.65,0.76,0.76,0.67,0.43,0.78,0.75,0.64,0.72,0.64,0.57,0.76,0.64,0.67,0.43,0.76,0.77,0.57,0.76,0.68,0.43,0.43,0.57,0.76,NI,0.66,0.64,0.64,0.43,NI,NI,0.76,0.78,0.43,NI,0.65,0.43,0.43,0.43,0.43,0.66,0.76,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.9999999999999998
43,edisonn43.xlsx,GMM,5000,2,12,2:40,normal,0.3,5,0,0,0.81,0.78,0.97,0.99,0.97,0.9,0.78,0.83,0.84,0.78,0.99,0.78,0.63,0.97,0.78,0.81,0.97,0.97,0.99,0.81,0.97,0.9,0.97,0.97,0.98,0.98,NI,0.8,0.71,0.78,0.99,NI,NI,0.97,0.99,0.97,NI,0.97,0.78,0.9,0.97,0.97,0.97,0.97,0.71,0.97,0.97,0.71,0.97,0.97,0.41,0.99,0.99,0.9822057450478626
44,edisonn44.xlsx,GMM,5000,2,13,2:40,normal,0.1,1,0,0,1.0,0.8,1.0,1.0,1.0,0.84,1.0,0.69,0.91,0.8,1.0,0.8,0.62,1.0,0.8,0.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.82,1.0,0.8,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,1.0,1.0,1.0
45,edisonn45.xlsx,GMM,5000,2,13,2:40,normal,0.1,5,0,0,1.0,0.82,1.0,1.0,1.0,0.93,1.0,1.0,0.72,0.82,1.0,0.82,0.44,1.0,0.82,0.84,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.83,0.78,0.82,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44,0.44,0.44,0.993539584096373
46,edisonn46.xlsx,GMM,5000,2,13,2:40,normal,0.3,1,0,0,0.65,0.67,0.67,0.79,0.65,0.73,0.77,0.69,0.69,0.67,0.65,0.67,0.58,0.65,0.67,0.69,0.65,0.65,0.68,0.58,0.65,0.76,0.41,0.41,0.76,0.65,NI,0.68,0.68,0.67,0.65,NI,NI,0.65,0.65,0.41,NI,0.67,0.77,0.77,0.77,0.58,0.76,0.76,0.58,0.65,0.65,0.58,0.65,0.65,0.41,0.41,0.41,0.986210449741808
47,edisonn47.xlsx,GMM,5000,2,13,2:40,normal,0.3,5,0,0,1.0,0.8,1.0,1.0,1.0,0.85,1.0,0.9,0.93,0.8,1.0,0.8,0.44,1.0,0.85,0.83,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.82,0.68,0.8,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56,0.44,0.44,0.9999999999999998
48,edisonn48.xlsx,GMM,5000,2,14,2:40,normal,0.1,1,0,0,0.82,0.82,1.0,1.0,1.0,0.85,1.0,0.92,0.84,0.82,1.0,0.82,0.43,1.0,0.82,0.84,1.0,1.0,1.0,0.82,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.83,1.0,0.82,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43,0.43,0.43,0.426878896950424
49,edisonn49.xlsx,GMM,5000,2,14,2:40,normal,0.1,5,0,0,0.99,0.82,0.99,1.0,0.99,0.93,0.99,1.0,0.97,0.82,1.0,0.82,0.61,0.99,0.82,0.85,1.0,0.99,1.0,0.89,0.99,0.99,0.99,0.99,0.99,0.99,NI,0.84,0.71,0.82,1.0,NI,NI,0.99,1.0,0.99,NI,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.43,0.61,0.61,1.0
50,edisonn50.xlsx,GMM,5000,2,14,2:40,normal,0.3,1,0,0,0.72,0.72,0.72,0.83,0.75,0.77,0.83,0.78,0.77,0.72,0.71,0.72,0.4,0.75,0.72,0.74,0.4,0.75,0.83,0.57,0.75,0.73,0.4,0.4,0.75,0.75,NI,0.73,0.72,0.72,0.75,NI,NI,0.81,0.71,0.4,NI,0.75,0.83,0.83,0.83,0.57,0.57,0.57,0.75,0.75,0.75,0.75,0.75,0.75,0.4,0.4,0.4,0.9744741750993592
51,edisonn51.xlsx,GMM,5000,2,14,2:40,normal,0.3,5,0,0,0.81,0.81,0.99,0.99,0.99,0.93,0.82,0.95,0.91,0.81,0.99,0.81,0.6,0.99,0.81,0.83,0.99,0.99,0.99,0.91,0.99,0.96,0.99,0.99,0.99,0.99,NI,0.82,0.71,0.81,0.99,NI,NI,0.99,0.99,0.99,NI,0.96,0.82,0.99,0.99,0.9,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.43,0.6,0.6,1.0
52,edisonn52.xlsx,GMM,5000,2,15,2:40,normal,0.1,1,0,0,1.0,0.83,1.0,1.0,1.0,0.77,0.94,0.81,0.97,0.83,1.0,0.83,0.41,1.0,0.92,0.86,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.41,1.0,0.98,NI,0.85,1.0,0.83,1.0,NI,NI,1.0,1.0,0.41,NI,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41,0.41,1.0,0.3841484069799497
53,edisonn53.xlsx,GMM,5000,2,15,2:40,normal,0.1,5,0,0,1.0,0.83,1.0,1.0,0.99,0.99,1.0,0.88,0.99,0.83,1.0,0.83,0.43,0.99,0.83,0.86,1.0,0.99,1.0,0.56,0.99,0.99,1.0,1.0,1.0,1.0,NI,0.85,0.84,0.83,0.99,NI,NI,1.0,1.0,1.0,NI,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43,0.43,1.0,0.9649878078227234
54,edisonn54.xlsx,GMM,5000,2,15,2:40,normal,0.3,1,0,0,0.73,0.71,0.85,0.85,0.64,0.71,0.73,0.72,0.83,0.71,0.58,0.71,0.4,0.58,0.71,0.73,0.73,0.73,0.74,0.72,0.73,0.73,0.4,0.4,0.64,0.73,NI,0.72,0.72,0.73,0.4,NI,NI,0.73,0.75,0.4,NI,0.73,0.73,0.73,0.73,0.85,0.58,0.58,0.4,0.58,0.58,0.4,0.58,0.58,0.4,0.4,0.4,0.989839088931052
