N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,B_H,B_R,C,CH,DB,D_R,DI,K_D,Log_B_W,M_R,PBM,P_B,R_L,R_T,S_S,SD,S_Dbw,Si,T_W,T_WiB,W_G,XB,PC,CE,G_str,G_rex,Conn,CVNN,ICC,CV,LCCV,CSBM,WGLI,MPC,PBMF,MPE,CO,DCVI,GDI11,GDI12,GDI13,GDI21,GDI22,GDI23,GDI31,GDI32,GDI33,GDI41,GDI42,GDI43,GDI51,GDI52,GDI53,UW
679,edisonn679.xlsx,GMM,5000,100,15,2:40,normal,0.3,5,0,0,1.0,0.83,1.0,1.0,1.0,0.86,1.0,1.0,0.92,1.0,1.0,0.41,0.74,1.0,0.98,0.86,Full NaN,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.86,1.0,1.0,0.91,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41,0.41,1.0,0.9833663445334486
680,edisonn680.xlsx,GMM,5000,100,16,2:40,normal,0.1,1,0,0,1.0,0.84,1.0,1.0,1.0,0.85,1.0,1.0,0.86,1.0,1.0,0.3,0.84,1.0,0.91,0.88,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.89,1.0,1.0,0.9,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.3,0.99,0.9199230790585932
681,edisonn681.xlsx,GMM,5000,100,16,2:40,normal,0.1,5,0,0,1.0,0.84,1.0,1.0,1.0,0.85,1.0,1.0,0.98,1.0,1.0,0.4,0.76,1.0,1.0,0.88,0.99,1.0,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.89,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.9696095435113068
682,edisonn682.xlsx,GMM,5000,100,16,2:40,normal,0.3,1,0,0,1.0,0.85,1.0,1.0,1.0,0.95,1.0,1.0,0.86,1.0,1.0,0.35,0.87,1.0,0.93,0.89,Full NaN,1.0,1.0,0.95,1.0,1.0,1.0,0.35,1.0,1.0,NI,0.9,1.0,1.0,0.98,NI,NI,1.0,0.99,0.35,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,1.0,0.9680470707018072
683,edisonn683.xlsx,GMM,5000,100,16,2:40,normal,0.3,5,0,0,1.0,0.84,1.0,1.0,1.0,0.88,1.0,1.0,0.9,1.0,1.0,0.4,0.76,1.0,0.97,0.88,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.89,1.0,1.0,0.98,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.974189294931643
684,edisonn684.xlsx,GMM,5000,100,17,2:40,normal,0.1,1,0,0,1.0,0.86,1.0,1.0,1.0,0.98,1.0,1.0,0.91,1.0,1.0,0.34,0.77,1.0,Full NaN,0.9,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.91,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34,0.53,1.0,0.9574888412070736
685,edisonn685.xlsx,GMM,5000,100,17,2:40,normal,0.1,5,0,0,1.0,0.86,0.99,1.0,1.0,0.94,1.0,1.0,0.8,1.0,1.0,0.4,0.94,1.0,1.0,0.9,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.9,1.0,1.0,0.91,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.9501947085303863
686,edisonn686.xlsx,GMM,5000,100,17,2:40,normal,0.3,1,0,0,1.0,0.87,1.0,1.0,1.0,0.97,1.0,1.0,0.8,1.0,1.0,0.4,0.84,1.0,Full NaN,0.9,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,NI,0.91,1.0,1.0,1.0,NI,NI,1.0,1.0,0.4,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0
687,edisonn687.xlsx,GMM,5000,100,17,2:40,normal,0.3,5,0,0,1.0,0.86,1.0,1.0,1.0,0.94,1.0,1.0,0.87,1.0,1.0,0.4,0.9,1.0,1.0,0.89,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.9,1.0,1.0,0.97,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0
688,edisonn688.xlsx,GMM,5000,100,18,2:40,normal,0.1,1,0,0,1.0,0.87,1.0,1.0,1.0,0.88,1.0,1.0,0.59,1.0,1.0,0.39,0.69,1.0,1.0,0.91,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.91,1.0,1.0,0.98,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,1.0,0.981695130906225
