index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
42,42,edisonn42.xlsx,GMM,5000,2,12,2:40,normal,0.3,1,500,0,42,25,25,31,60,5,3,7,3,31,31,4,2,31,2
43,43,edisonn43.xlsx,GMM,5000,2,12,2:40,normal,0.3,5,500,0,43,31,5,31,60,3,31,31,31,31,2,3,20,31,2
44,44,edisonn44.xlsx,GMM,5000,2,13,2:40,normal,0.1,1,500,0,44,28,17,32,62,12,30,28,30,32,2,5,26,30,22
45,45,edisonn45.xlsx,GMM,5000,2,13,2:40,normal,0.1,5,500,0,45,32,8,32,62,7,32,32,2,32,32,2,28,32,2
46,46,edisonn46.xlsx,GMM,5000,2,13,2:40,normal,0.3,1,500,0,46,32,22,32,62,5,6,14,2,32,32,5,5,32,2
47,47,edisonn47.xlsx,GMM,5000,2,13,2:40,normal,0.3,5,500,0,47,27,10,32,60,7,2,32,2,32,22,2,21,32,2
48,48,edisonn48.xlsx,GMM,5000,2,14,2:40,normal,0.1,1,500,0,48,30,11,33,44,10,32,31,2,33,33,24,22,32,23
49,49,edisonn49.xlsx,GMM,5000,2,14,2:40,normal,0.1,5,500,0,49,32,7,33,64,6,33,32,2,33,33,6,22,33,2
50,50,edisonn50.xlsx,GMM,5000,2,14,2:40,normal,0.3,1,500,0,50,29,32,33,64,4,11,9,11,33,33,4,4,33,3
51,51,edisonn51.xlsx,GMM,5000,2,14,2:40,normal,0.3,5,500,0,51,32,11,33,64,9,4,32,2,33,33,5,10,30,2
52,52,edisonn52.xlsx,GMM,5000,2,15,2:40,normal,0.1,1,500,0,52,30,11,34,66,9,30,21,20,34,34,8,25,30,24
53,53,edisonn53.xlsx,GMM,5000,2,15,2:40,normal,0.1,5,500,0,53,34,7,34,66,6,4,33,2,34,23,2,32,34,2
54,54,edisonn54.xlsx,GMM,5000,2,15,2:40,normal,0.3,1,500,0,54,32,8,34,66,6,12,8,11,34,34,3,3,32,2
55,55,edisonn55.xlsx,GMM,5000,2,15,2:40,normal,0.3,5,500,0,55,34,6,34,66,6,14,34,13,34,33,2,21,34,2
56,56,edisonn56.xlsx,GMM,5000,2,16,2:40,normal,0.1,1,500,0,56,30,22,35,68,6,35,30,4,35,35,22,22,35,25
57,57,edisonn57.xlsx,GMM,5000,2,16,2:40,normal,0.1,5,500,0,57,35,8,35,64,5,25,35,20,35,35,3,35,35,2
58,58,edisonn58.xlsx,GMM,5000,2,16,2:40,normal,0.3,1,500,0,58,34,31,35,68,8,4,8,4,34,35,8,8,16,2
