index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,level_0,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
23,23,edisonn23.xlsx,GMM,5000,2,7,2:40,gamma,0.3,5,500,0,23,23,0.8130924158175388,0.9521011864705614,0.8130924158175388,0.7097051098506005,0.8518716439561299,0.9087950950842798,0.9087950950842798,0.49086861256689296,0.8130924158175388,0.8130924158175388,0.6573748021143176,0.9087950950842798,0.9087950950842798,0.4912640784076766
24,24,edisonn24.xlsx,GMM,5000,2,8,2:40,gamma,0.1,1,500,0,24,24,0.8123170161118666,0.963820718468092,0.8123170161118666,0.7207392909987607,0.8442896160405422,0.9279375147325578,0.9279375147325578,0.4903335605890821,0.8123170161118666,0.8123170161118666,0.662876019041891,0.9279375147325578,0.9279375147325578,0.7531061653543217
25,25,edisonn25.xlsx,GMM,5000,2,8,2:40,gamma,0.1,5,500,0,25,25,0.9400347597090859,0.9139943218497564,0.9400347597090859,0.88752441508495,0.81647039236694,0.9373035473059832,0.9373035473059832,0.41931987911147983,0.9400347597090859,0.9400347597090859,0.6562954145294553,0.9373035473059832,0.9373035473059832,0.4195341005938774
26,26,edisonn26.xlsx,GMM,5000,2,8,2:40,gamma,0.3,1,500,0,26,26,0.6082908399822949,0.7400345163516607,0.6082908399822949,0.5529172705085961,0.7459037969565452,0.6596886761167177,0.6596886761167177,0.4151437596611498,0.6082908399822949,0.6082908399822949,0.5802417970667761,0.6596886761167177,0.6596886761167177,0.8429990649083422
27,27,edisonn27.xlsx,GMM,5000,2,8,2:40,gamma,0.3,5,500,0,27,27,0.8468794057165077,0.9546593961192905,0.8468794057165077,0.7500665757948771,0.818790502932074,0.9183100372068279,0.9183100372068279,0.4191169588252206,0.8468794057165077,0.8468794057165077,0.6516009049099399,0.9183100372068279,0.9183100372068279,0.418419147376922
28,28,edisonn28.xlsx,GMM,5000,2,9,2:40,gamma,0.1,1,500,0,28,28,0.8577200599375533,0.9528582040096316,0.8577200599375533,0.7759866824283849,0.7527892177579196,0.9299600555973971,0.9299600555973971,0.40970592122424815,0.8577200599375533,0.8577200599375533,0.5978124366217897,0.9299600555973971,0.9299600555973971,0.4366999318128641
29,29,edisonn29.xlsx,GMM,5000,2,9,2:40,gamma,0.1,5,500,0,29,29,0.9457596500470441,0.9663063914828498,0.9457596500470441,0.9131043348594287,0.8317767550202598,0.9650200946953372,0.9650200946953372,0.46838873653648,0.9457596500470441,0.9457596500470441,0.6127665625274096,0.9650200946953372,0.9650200946953372,0.7391718232715833
30,30,edisonn30.xlsx,GMM,5000,2,9,2:40,gamma,0.3,1,500,0,30,30,0.6363078305770806,0.6968292255641807,0.6210015026396021,0.5688256409059287,0.551047696131989,0.6697622737392197,0.551047696131989,0.551047696131989,0.6210015026396021,0.6210015026396021,0.551047696131989,0.551047696131989,0.6179072499248554,0.8375054124705446
31,31,edisonn31.xlsx,GMM,5000,2,9,2:40,gamma,0.3,5,500,0,31,31,0.8936162751464533,0.8258889123142097,0.8750362602831399,0.8052770012098595,0.635138070766182,0.7892010405217326,0.635138070766182,0.635138070766182,0.8750362602831399,0.8750362602831399,0.635138070766182,0.635138070766182,0.8919577295825057,0.7209999293946104
32,32,edisonn32.xlsx,GMM,5000,2,10,2:40,gamma,0.1,1,500,0,32,32,0.8770544451774556,0.8140143363592609,0.8656964575699303,0.7678051646498625,0.6006901764863894,0.7433370247498066,0.6006901764863894,0.6006901764863894,0.8656964575699303,0.8656964575699303,0.6006901764863894,0.6006901764863894,0.8655695885158442,0.9329586011516504
33,33,edisonn33.xlsx,GMM,5000,2,10,2:40,gamma,0.1,5,500,0,33,33,0.9476769534011154,0.8404454427616462,0.9442492108866225,0.9078893659451827,0.6261344018031559,0.7926891603405054,0.6261344018031559,0.6261344018031559,0.9442492108866225,0.9442492108866225,0.6261344018031559,0.6261344018031559,0.945111454634391,0.9570581519119884
34,34,edisonn34.xlsx,GMM,5000,2,10,2:40,gamma,0.3,1,500,0,34,34,0.6460499870667136,0.6854188661552688,0.6355990581352685,0.5891391660692974,0.5201583406150128,0.6749935801993574,0.5201583406150128,0.5201583406150128,0.6355990581352685,0.6355990581352685,0.5201583406150128,0.5201583406150128,0.638969705760792,0.3488523438713632
35,35,edisonn35.xlsx,GMM,5000,2,10,2:40,gamma,0.3,5,500,0,35,35,0.8795865958908261,0.8322136889975685,0.8745365238978805,0.7931840425813527,0.6047508609541988,0.782349861878359,0.6047508609541988,0.6047508609541988,0.8745365238978805,0.8745365238978805,0.6047508609541988,0.6047508609541988,0.877064199218946,0.9379511313430844
36,36,edisonn36.xlsx,GMM,5000,2,11,2:40,gamma,0.1,1,500,0,36,36,0.9201829241615608,0.750425141870497,0.8830835024127826,0.7854625809203287,0.49240693399119567,0.6778971900825607,0.49240693399119567,0.49240693399119567,0.8830835024127826,0.8830835024127826,0.49240693399119567,0.49240693399119567,0.8953593612920588,0.4102871193852503
37,37,edisonn37.xlsx,GMM,5000,2,11,2:40,gamma,0.1,5,500,0,37,37,0.9537630474680733,0.8139721214584007,0.9505650158512862,0.9340650454953002,0.5357588092961435,0.7705555098541214,0.5357588092961435,0.5357588092961435,0.9505650158512862,0.9505650158512862,0.5357588092961435,0.5357588092961435,0.9515629667103269,0.3885556278071009
38,38,edisonn38.xlsx,GMM,5000,2,11,2:40,gamma,0.3,1,500,0,38,38,0.6526535219136185,0.6701979457771507,0.63703910394707,0.5912162447241583,0.5267547374994477,0.6214426946789039,0.5267547374994477,0.5267547374994477,0.63703910394707,0.63703910394707,0.5267547374994477,0.5267547374994477,0.6442769632888973,0.3951616124076454
39,39,edisonn39.xlsx,GMM,5000,2,11,2:40,gamma,0.3,5,500,0,39,39,0.9251447700342882,0.8091789306219082,0.9012824292178716,0.824750755456166,0.5237479694187208,0.7577912902208026,0.5237479694187208,0.5237479694187208,0.9012824292178716,0.9012824292178716,0.5237479694187208,0.5237479694187208,0.9044724815531686,0.3867307938962083
40,40,edisonn40.xlsx,GMM,5000,2,12,2:40,gamma,0.1,1,500,0,40,40,0.8788178000150255,0.9582236240282569,0.8788178000150255,0.7887898599158385,0.9590132163269912,0.43937645014869486,0.8788178000150255,0.43937645014869486,0.8788178000150255,0.8788178000150255,0.43937645014869486,0.9633998229949168,0.8788178000150255,0.5570872060134379
41,41,edisonn41.xlsx,GMM,5000,2,12,2:40,gamma,0.1,5,500,0,41,41,0.9505154681355645,0.965982492443945,0.9505154681355645,0.9011327519301567,0.9440208008893302,0.35487889630891317,0.9505154681355645,0.35487889630891317,0.9505154681355645,0.9505154681355645,0.35487889630891317,0.9779708799449652,0.9505154681355645,0.3614817564756818
42,42,edisonn42.xlsx,GMM,5000,2,12,2:40,gamma,0.3,1,500,0,42,42,0.6418695355391636,0.6900485062732786,0.6418695355391636,0.592571928914677,0.7043891114457024,0.3945824922754519,0.6418695355391636,0.3945824922754519,0.6418695355391636,0.6418695355391636,0.3945824922754519,0.6986576390447059,0.6418695355391636,0.4284903744924285
43,43,edisonn43.xlsx,GMM,5000,2,12,2:40,gamma,0.3,5,500,0,43,43,0.9055845482147551,0.9494357855441455,0.9055845482147551,0.8184567933291549,0.9477695621420523,0.3553693383244999,0.9055845482147551,0.3553693383244999,0.9055845482147551,0.9055845482147551,0.3553693383244999,0.9344649701846781,0.9055845482147551,0.3614817564756818
44,44,edisonn44.xlsx,GMM,5000,2,13,2:40,gamma,0.1,1,500,0,44,44,0.8987113980277359,0.9650510298769832,0.8987113980277359,0.8096840252587123,0.95963911718961,0.33702365521576205,0.8987113980277359,0.33702365521576205,0.8987113980277359,0.8987113980277359,0.33702365521576205,0.94985200766834,0.8987113980277359,0.3798879532112225
45,45,edisonn45.xlsx,GMM,5000,2,13,2:40,gamma,0.1,5,500,0,45,45,0.950898996040616,0.9570729921316836,0.950898996040616,0.9182989075823149,0.9311789111890653,0.379874881276453,0.950898996040616,0.379874881276453,0.950898996040616,0.950898996040616,0.379874881276453,0.9684402068409735,0.950898996040616,0.3669154426733698
46,46,edisonn46.xlsx,GMM,5000,2,13,2:40,gamma,0.3,1,500,0,46,46,0.6635017039279503,0.6936654783423886,0.6635017039279503,0.6147687744157685,0.7304243285905279,0.31551250778079387,0.6635017039279503,0.31551250778079387,0.6635017039279503,0.6635017039279503,0.31551250778079387,0.7347996977814877,0.6635017039279503,0.3684559190572685
47,47,edisonn47.xlsx,GMM,5000,2,13,2:40,gamma,0.3,5,500,0,47,47,0.9133253746596314,0.9491566901878288,0.9133253746596314,0.8498487694028101,0.9401643553608454,0.3799689041092524,0.9133253746596314,0.3799689041092524,0.9133253746596314,0.9133253746596314,0.3799689041092524,0.9593952438514124,0.9133253746596314,0.3671348624930331
48,48,edisonn48.xlsx,GMM,5000,2,14,2:40,gamma,0.1,1,500,0,48,48,0.9187032797260419,0.9662661678823271,0.9187032797260419,0.8271185042794494,0.9438235824999593,0.38878625602485106,0.9187032797260419,0.38878625602485106,0.9187032797260419,0.9187032797260419,0.38878625602485106,0.957162159880006,0.9187032797260419,0.3881880095457662
49,49,edisonn49.xlsx,GMM,5000,2,14,2:40,gamma,0.1,5,500,0,49,49,0.9539740687625838,0.9627789891012934,0.9539740687625838,0.9343631790349666,0.9665039571041637,0.39181695295290797,0.9539740687625838,0.39181695295290797,0.9539740687625838,0.9539740687625838,0.39181695295290797,0.944448656542341,0.9539740687625838,0.3919225316514115
50,50,edisonn50.xlsx,GMM,5000,2,14,2:40,gamma,0.3,1,500,0,50,50,0.7017982667316267,0.6977442515677571,0.6945442893397473,0.6396811401412168,0.6039658941903722,0.7572432153222712,0.7444072935840381,0.7572432153222712,0.6945442893397473,0.6945442893397473,0.6039658941903722,0.6039658941903722,0.6945442893397473,0.3871425077987467
51,51,edisonn51.xlsx,GMM,5000,2,14,2:40,gamma,0.3,5,500,0,51,51,0.9288858421093107,0.9175532952758334,0.9113803807521582,0.8399306671913911,0.6426925989530707,0.9140642761862751,0.8571104192840935,0.9140642761862751,0.9113803807521582,0.9113803807521582,0.6426925989530707,0.6426925989530707,0.9113803807521582,0.3921374371771502
52,52,edisonn52.xlsx,GMM,5000,2,15,2:40,gamma,0.1,1,500,0,52,52,0.9272334347145962,0.91315917313618,0.9045523954758633,0.8135550380788961,0.6432488564361103,0.89763889631224,0.7981792419772638,0.89763889631224,0.9045523954758633,0.9045523954758633,0.6432488564361103,0.6432488564361103,0.9045523954758633,0.368707445720667
53,53,edisonn53.xlsx,GMM,5000,2,15,2:40,gamma,0.1,5,500,0,53,53,0.9571896174192692,0.9530815163535693,0.9521493008642251,0.9313501766661372,0.6264188797948151,0.9048428621940273,0.8725590367496457,0.9048428621940273,0.9521493008642251,0.9521493008642251,0.6264188797948151,0.6264188797948151,0.9521493008642251,0.3950599651523545
54,54,edisonn54.xlsx,GMM,5000,2,15,2:40,gamma,0.3,1,500,0,54,54,0.7079768082825333,0.6994080115403268,0.6952127083735925,0.6425992798165225,0.558555589189286,0.7720561569545734,0.756133539613463,0.7720561569545734,0.6952127083735925,0.6952127083735925,0.558555589189286,0.558555589189286,0.6952127083735925,0.3356120667690715
55,55,edisonn55.xlsx,GMM,5000,2,15,2:40,gamma,0.3,5,500,0,55,55,0.9403070154095645,0.935553935613955,0.9402403455353214,0.8661207872050894,0.6192611330364033,0.8988899671165735,0.8558005533348385,0.8988899671165735,0.9402403455353214,0.9402403455353214,0.6192611330364033,0.6192611330364033,0.9402403455353214,0.396098601755079
56,56,edisonn56.xlsx,GMM,5000,2,16,2:40,gamma,0.1,1,500,0,56,56,0.9349795189168415,0.9212953292806602,0.9183381782956972,0.8142874662143192,0.6224185530785956,0.8704934925784172,0.8102292019334506,0.8704934925784172,0.9183381782956972,0.9183381782956972,0.6224185530785956,0.6224185530785956,0.9183381782956972,0.505679012886083
57,57,edisonn57.xlsx,GMM,5000,2,16,2:40,gamma,0.1,5,500,0,57,57,0.9608870349356984,0.9586326890801911,0.9572399459316321,0.9389002016014801,0.5690755416991963,0.9299211406043639,0.8720477646920052,0.9299211406043639,0.9572399459316321,0.9572399459316321,0.5690755416991963,0.5690755416991963,0.9572399459316321,0.2886407239736776
58,58,edisonn58.xlsx,GMM,5000,2,16,2:40,gamma,0.3,1,500,0,58,58,0.7053963410271018,0.6946122019561376,0.6961565290813466,0.6421259736671162,0.5840585040861264,0.7437911079674732,0.7254062419857886,0.7437911079674732,0.6961565290813466,0.6961565290813466,0.5840585040861264,0.5840585040861264,0.6961565290813466,0.3675725811033845
59,59,edisonn59.xlsx,GMM,5000,2,16,2:40,gamma,0.3,5,500,0,59,59,0.9296834701559253,0.9272667883039598,0.9270482222049609,0.8385372855059156,0.5562256000036356,0.8948776011763725,0.8679097651866532,0.8948776011763725,0.9270482222049609,0.9270482222049609,0.5562256000036356,0.5562256000036356,0.9270482222049609,0.2885728318908695
60,60,edisonn60.xlsx,GMM,5000,2,17,2:40,gamma,0.1,1,500,0,60,60,0.9130920734568623,0.9451721475897369,0.9130920734568623,0.8283866460700807,0.9325000982869499,0.9384129648171821,0.9130920734568623,0.35771131506423975,0.9130920734568623,0.9130920734568623,0.9605777974069071,0.9554833061926806,0.9384129648171821,0.5081040289954872
61,61,edisonn61.xlsx,GMM,5000,2,17,2:40,gamma,0.1,5,500,0,61,61,0.9555442297667821,0.9450061630674063,0.9555442297667821,0.9362108089496008,0.9545256406433305,0.960351139235545,0.9555442297667821,0.35961872271999545,0.9555442297667821,0.9555442297667821,0.9737399556230439,0.9686183058200787,0.960351139235545,0.5993619085777883
62,62,edisonn62.xlsx,GMM,5000,2,17,2:40,gamma,0.3,1,500,0,62,62,0.7065210735717279,0.7510126978042235,0.7065210735717279,0.6547380020962587,0.7652319978298855,0.7255217582699339,0.7065210735717279,0.3295884563719277,0.7065210735717279,0.7065210735717279,0.7460042649925192,0.7291538391691228,0.7255217582699339,0.5799272432118484
63,63,edisonn63.xlsx,GMM,5000,2,17,2:40,gamma,0.3,5,500,0,63,63,0.924368532269447,0.9384208337046516,0.924368532269447,0.8757630094734352,0.9285488621408983,0.9396832710185159,0.924368532269447,0.3598264357561973,0.924368532269447,0.924368532269447,0.9498969222559426,0.9461172693732641,0.9396832710185159,0.6938363356168586
64,64,edisonn64.xlsx,GMM,5000,2,18,2:40,gamma,0.1,1,500,0,64,64,0.9401593835949011,0.9732438247395482,0.9401593835949011,0.8345430593458475,0.9430780403529259,0.9486354341675601,0.9401593835949011,0.3532056439474868,0.9401593835949011,0.9401593835949011,0.9640190097000991,0.9596063115777246,0.9486354341675601,0.3605608351926941
65,65,edisonn65.xlsx,GMM,5000,2,18,2:40,gamma,0.1,5,500,0,65,65,0.941618991796933,0.9319362801111065,0.941618991796933,0.9337325173577709,0.9487104083276408,0.9294262823171142,0.941618991796933,0.36149792023908234,0.941618991796933,0.941618991796933,0.9419218260210198,0.9381326434686849,0.9294262823171142,0.6024984673470221
66,66,edisonn66.xlsx,GMM,5000,2,18,2:40,gamma,0.3,1,500,0,66,66,0.7272702269803974,0.7787694488324977,0.7272702269803974,0.6750874492199699,0.7865258236921454,0.7421422881217938,0.7272702269803974,0.3503719336597878,0.7272702269803974,0.7272702269803974,0.7636484113448138,0.7550517950041536,0.7421422881217938,0.8968239735005865
67,67,edisonn67.xlsx,GMM,5000,2,18,2:40,gamma,0.3,5,500,0,67,67,0.9356834225786317,0.9394941780934761,0.9356834225786317,0.8609348392368326,0.92102428458117,0.9312296179422694,0.9356834225786317,0.36146663480153507,0.9356834225786317,0.9356834225786317,0.942303037926517,0.9394779439760129,0.9312296179422694,0.6021932230143775
68,68,edisonn68.xlsx,GMM,5000,2,19,2:40,gamma,0.1,1,500,0,68,68,0.9457287018456609,0.931437676365976,0.9457287018456609,0.8372716716520823,0.9367315671946158,0.9553350892055407,0.9457287018456609,0.28664661987952994,0.9457287018456609,0.9457287018456609,0.9760272629628771,0.9722215573024826,0.9553350892055407,0.2975109307254561
69,69,edisonn69.xlsx,GMM,5000,2,19,2:40,gamma,0.1,5,500,0,69,69,0.9571658780144138,0.9451039507993408,0.9571658780144138,0.9410336128084319,0.9345984919016208,0.9302963756289917,0.9571658780144138,0.3440185707423302,0.9571658780144138,0.9571658780144138,0.9229677470649181,0.9408592569508092,0.9302963756289917,0.3256854948681883
70,70,edisonn70.xlsx,GMM,5000,2,19,2:40,gamma,0.3,1,500,0,70,70,0.7451478415416639,0.7951911987848254,0.7451478415416639,0.6789006355848516,0.5903701469688019,0.7451478415416639,0.7768891138998557,0.5498174504796073,0.7451478415416639,0.7451478415416639,0.661677444599079,0.661677444599079,0.772126283487617,0.3457233720229788
71,71,edisonn71.xlsx,GMM,5000,2,19,2:40,gamma,0.3,5,500,0,71,71,0.9196774423338688,0.9187183202880057,0.9196774423338688,0.8610034230359914,0.6601701768003144,0.9196774423338688,0.9021182477506072,0.576405216082172,0.9196774423338688,0.9196774423338688,0.712106857747372,0.712106857747372,0.9301089965999948,0.3244313941505374
72,72,edisonn72.xlsx,GMM,5000,2,20,2:40,gamma,0.1,1,500,0,72,72,0.9361428467214313,0.9007678281621815,0.9361428467214313,0.8576591334111834,0.6372838544267427,0.9361428467214313,0.8870202118423028,0.5798175253740394,0.9361428467214313,0.9361428467214313,0.6805805410196397,0.6805805410196397,0.95782029177746,0.3340794273142665
73,73,edisonn73.xlsx,GMM,5000,2,20,2:40,gamma,0.1,5,500,0,73,73,0.9583308216134266,0.9044936177441781,0.9583308216134266,0.9404438040542539,0.6400165918791014,0.9583308216134266,0.8793334172621146,0.5938644339939082,0.9583308216134266,0.9583308216134266,0.6926786455525313,0.6926786455525313,0.9508459204376797,0.3169903157299961
74,74,edisonn74.xlsx,GMM,5000,2,20,2:40,gamma,0.3,1,500,0,74,74,0.7426040837446548,0.7996726055531537,0.7426040837446548,0.6853860007051195,0.615251748984166,0.7426040837446548,0.789373639784823,0.5552351276936869,0.7426040837446548,0.7426040837446548,0.6543352728224212,0.6543352728224212,0.7684008545322839,0.3276622266206035
75,75,edisonn75.xlsx,GMM,5000,2,20,2:40,gamma,0.3,5,500,0,75,75,0.9397905071979059,0.9193957801619131,0.9397905071979059,0.8876857190147874,0.6398698565442338,0.9397905071979059,0.8939255501521599,0.5937592731082934,0.9397905071979059,0.9397905071979059,0.6895540893303771,0.6895540893303771,0.9502820916075941,0.5930974852226428
76,76,edisonn76.xlsx,GMM,5000,2,21,2:40,gamma,0.1,1,500,0,76,76,0.9486480073124983,0.9038443070787521,0.9486480073124983,0.8511263216265417,0.6388141452856535,0.9486480073124983,0.8961161676017162,0.5783050374156574,0.9486480073124983,0.9486480073124983,0.691393996517805,0.691393996517805,0.9647478545643658,0.3482805121932243
77,77,edisonn77.xlsx,GMM,5000,2,21,2:40,gamma,0.1,5,500,0,77,77,0.9580220048826847,0.9355319488703905,0.9580220048826847,0.9359450574497031,0.6184758064992134,0.9580220048826847,0.8945319936770786,0.5023569099223801,0.9580220048826847,0.9580220048826847,0.6569167078050818,0.6569167078050818,0.954906004653438,0.35062187402688
78,78,edisonn78.xlsx,GMM,5000,2,21,2:40,gamma,0.3,1,500,0,78,78,0.7287964385579881,0.7670312494137799,0.7287964385579881,0.6717389913545293,0.5842458586368043,0.7287964385579881,0.7502399349362843,0.5298140688918621,0.7287964385579881,0.7287964385579881,0.5984601196492304,0.5984601196492304,0.7508627837286513,0.3502866379358745
