index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
41,41,edisonn41.xlsx,GMM,5000,2,12,2:40,uniform,0.1,5,500,0,41,28,5,31,60,3,31,31,31,31,2,3,28,31,2
42,42,edisonn42.xlsx,GMM,5000,2,12,2:40,uniform,0.3,1,500,0,42,29,7,31,60,6,20,23,17,31,31,6,6,23,2
43,43,edisonn43.xlsx,GMM,5000,2,12,2:40,uniform,0.3,5,500,0,43,30,5,31,60,3,31,31,24,31,2,3,19,25,2
44,44,edisonn44.xlsx,GMM,5000,2,13,2:40,uniform,0.1,1,500,0,44,31,6,32,62,6,32,31,2,32,2,25,26,32,22
45,45,edisonn45.xlsx,GMM,5000,2,13,2:40,uniform,0.1,5,500,0,45,31,8,32,62,3,32,32,29,32,32,3,28,32,2
46,46,edisonn46.xlsx,GMM,5000,2,13,2:40,uniform,0.3,1,500,0,46,30,12,32,62,6,4,21,4,32,32,3,6,23,2
47,47,edisonn47.xlsx,GMM,5000,2,13,2:40,uniform,0.3,5,500,0,47,32,8,32,62,3,16,29,13,32,23,7,15,32,2
48,48,edisonn48.xlsx,GMM,5000,2,14,2:40,uniform,0.1,1,500,0,48,31,16,33,64,7,33,32,27,33,33,3,33,33,2
49,49,edisonn49.xlsx,GMM,5000,2,14,2:40,uniform,0.1,5,500,0,49,33,7,33,56,7,33,32,31,33,33,2,32,33,2
50,50,edisonn50.xlsx,GMM,5000,2,14,2:40,uniform,0.3,1,500,0,50,32,29,33,64,9,17,31,15,33,33,6,12,32,2
51,51,edisonn51.xlsx,GMM,5000,2,14,2:40,uniform,0.3,5,500,0,51,33,7,33,64,7,33,33,28,33,33,2,21,33,2
52,52,edisonn52.xlsx,GMM,5000,2,15,2:40,uniform,0.1,1,500,0,52,27,4,34,66,4,4,34,2,34,34,29,31,34,24
53,53,edisonn53.xlsx,GMM,5000,2,15,2:40,uniform,0.1,5,500,0,53,31,6,34,66,6,34,34,28,34,27,6,31,34,2
54,54,edisonn54.xlsx,GMM,5000,2,15,2:40,uniform,0.3,1,500,0,54,30,12,34,64,5,34,15,3,34,34,3,11,17,3
55,55,edisonn55.xlsx,GMM,5000,2,15,2:40,uniform,0.3,5,500,0,55,30,8,34,64,8,34,34,31,34,34,7,29,34,2
56,56,edisonn56.xlsx,GMM,5000,2,16,2:40,uniform,0.1,1,500,0,56,35,7,35,68,4,35,33,5,35,35,3,33,35,2
57,57,edisonn57.xlsx,GMM,5000,2,16,2:40,uniform,0.1,5,500,0,57,33,8,35,68,5,35,35,31,35,35,3,34,35,2
58,58,edisonn58.xlsx,GMM,5000,2,16,2:40,uniform,0.3,1,500,0,58,32,11,35,68,10,5,17,4,35,35,7,7,22,2
59,59,edisonn59.xlsx,GMM,5000,2,16,2:40,uniform,0.3,5,500,0,59,34,8,35,68,3,34,35,34,35,35,3,27,34,2
60,60,edisonn60.xlsx,GMM,5000,2,17,2:40,uniform,0.1,1,500,0,60,35,23,36,68,6,36,35,32,36,36,3,35,36,3
61,61,edisonn61.xlsx,GMM,5000,2,17,2:40,uniform,0.1,5,500,0,61,32,9,36,70,7,36,36,31,36,2,4,36,36,4
62,62,edisonn62.xlsx,GMM,5000,2,17,2:40,uniform,0.3,1,500,0,62,36,22,36,40,12,17,17,10,36,36,10,10,34,2
63,63,edisonn63.xlsx,GMM,5000,2,17,2:40,uniform,0.3,5,500,0,63,34,8,36,58,7,5,36,4,36,2,7,30,36,4
64,64,edisonn64.xlsx,GMM,5000,2,18,2:40,uniform,0.1,1,500,0,64,33,6,37,72,4,37,36,23,37,37,4,36,37,2
65,65,edisonn65.xlsx,GMM,5000,2,18,2:40,uniform,0.1,5,500,0,65,36,12,37,72,5,37,32,26,37,37,4,37,37,27
66,66,edisonn66.xlsx,GMM,5000,2,18,2:40,uniform,0.3,1,500,0,66,37,31,37,60,6,37,30,3,37,37,4,18,37,2
67,67,edisonn67.xlsx,GMM,5000,2,18,2:40,uniform,0.3,5,500,0,67,35,13,37,24,12,11,35,4,37,37,12,13,36,2
68,68,edisonn68.xlsx,GMM,5000,2,19,2:40,uniform,0.1,1,500,0,68,38,6,38,74,6,18,38,4,38,2,3,36,38,2
69,69,edisonn69.xlsx,GMM,5000,2,19,2:40,uniform,0.1,5,500,0,69,37,15,38,74,5,38,38,34,38,2,5,38,38,2
70,70,edisonn70.xlsx,GMM,5000,2,19,2:40,uniform,0.3,1,500,0,70,34,16,38,74,11,29,24,22,38,38,5,18,24,2
71,71,edisonn71.xlsx,GMM,5000,2,19,2:40,uniform,0.3,5,500,0,71,36,8,38,74,8,38,37,18,38,2,7,28,38,2
72,72,edisonn72.xlsx,GMM,5000,2,20,2:40,uniform,0.1,1,500,0,72,39,29,39,76,14,39,39,35,39,39,3,39,39,5
73,73,edisonn73.xlsx,GMM,5000,2,20,2:40,uniform,0.1,5,500,0,73,36,21,38,74,7,38,37,34,39,39,10,25,38,29
74,74,edisonn74.xlsx,GMM,5000,2,20,2:40,uniform,0.3,1,500,0,74,39,23,39,76,4,39,29,21,39,39,3,15,30,2
75,75,edisonn75.xlsx,GMM,5000,2,20,2:40,uniform,0.3,5,500,0,75,38,12,39,76,12,3,39,2,39,39,4,25,39,4
76,76,edisonn76.xlsx,GMM,5000,2,21,2:40,uniform,0.1,1,500,0,76,37,16,40,72,12,40,40,39,40,40,8,30,40,2
77,77,edisonn77.xlsx,GMM,5000,2,21,2:40,uniform,0.1,5,500,0,77,37,15,40,78,11,40,39,39,40,40,4,36,39,2
78,78,edisonn78.xlsx,GMM,5000,2,21,2:40,uniform,0.3,1,500,0,78,40,34,40,78,11,2,15,2,40,40,11,11,36,2
79,79,edisonn79.xlsx,GMM,5000,2,21,2:40,uniform,0.3,5,500,0,79,39,8,40,76,8,40,40,36,40,40,4,24,36,2
80,80,edisonn80.xlsx,GMM,5000,2,22,2:40,uniform,0.1,1,500,0,80,41,3,41,76,30,3,39,2,41,41,3,39,41,2
81,81,edisonn81.xlsx,GMM,5000,2,22,2:40,uniform,0.1,5,500,0,81,41,7,41,80,2,41,40,36,41,41,2,41,41,3
82,82,edisonn82.xlsx,GMM,5000,2,22,2:40,uniform,0.3,1,500,0,82,41,10,41,80,7,2,9,2,41,40,6,6,39,2
83,83,edisonn83.xlsx,GMM,5000,2,22,2:40,uniform,0.3,5,500,0,83,41,5,41,74,5,41,38,32,41,41,2,35,41,2
84,84,edisonn84.xlsx,GMM,5000,2,23,2:40,uniform,0.1,1,500,0,84,42,11,42,82,7,42,42,11,42,42,7,42,42,3
85,85,edisonn85.xlsx,GMM,5000,2,23,2:40,uniform,0.1,5,500,0,85,41,7,42,80,4,42,41,4,42,42,4,42,42,2
86,86,edisonn86.xlsx,GMM,5000,2,23,2:40,uniform,0.3,1,500,0,86,40,13,42,82,7,7,33,7,42,42,7,25,34,2
87,87,edisonn87.xlsx,GMM,5000,2,23,2:40,uniform,0.3,5,500,0,87,41,17,42,82,15,42,42,2,42,42,4,42,42,2
88,88,edisonn88.xlsx,GMM,5000,2,24,2:40,uniform,0.1,1,500,0,88,43,16,43,84,23,43,43,43,43,42,6,43,43,2
89,89,edisonn89.xlsx,GMM,5000,2,24,2:40,uniform,0.1,5,500,0,89,43,9,43,84,3,43,43,2,43,43,3,38,43,3
90,90,edisonn90.xlsx,GMM,5000,2,24,2:40,uniform,0.3,1,500,0,90,39,37,43,72,5,43,8,27,43,43,2,8,42,2
91,91,edisonn91.xlsx,GMM,5000,2,24,2:40,uniform,0.3,5,500,0,91,41,14,43,84,14,43,43,43,43,2,3,40,43,2
